event_id,timestamp,citizen_id,location_id,event_type,flagged,severity,duration_seconds
EVT-202602-000001,04/02/2026 03:01,PR-00146,LOC-005,Biometric,N,0,1
EVT-202602-000002,27/02/2026 20:18,PR-02573,LOC-021,CCTV-FR,Y,1,79
EVT-202602-000003,07/02/2026 00:39,PR-02600,LOC-019,Geolocation,N,0,112
EVT-202602-000004,20/02/2026 03:26,PR-00809,LOC-010,Biometric,N,0,6
EVT-202602-000005,28/02/2026 23:36,PR-02915,LOC-007,CCTV-FR,N,0,87
EVT-202602-000006,07/02/2026 13:11,PR-02612,LOC-010,Biometric,N,0,2
EVT-202602-000007,07/02/2026 02:44,PR-02460,LOC-026,Smartcard,N,0,1
EVT-202602-000008,07/02/2026 17:31,PR-02063,LOC-002,ANPR,N,0,1
EVT-202602-000009,24/02/2026 15:50,PR-00138,LOC-015,CCTV-FR,N,0,133
EVT-202602-000010,19/02/2026 22:25,PR-00386,LOC-028,ANPR,N,0,8
EVT-202602-000011,28/02/2026 12:27,PR-00045,LOC-014,CCTV-FR,N,0,77
EVT-202602-000012,14/02/2026 10:02,PR-00819,LOC-003,CCTV-FR,N,0,58
EVT-202602-000013,22/02/2026 05:31,PR-02181,LOC-003,CCTV-FR,N,0,156
EVT-202602-000014,28/02/2026 08:03,PR-00183,LOC-004,Biometric,N,0,4
EVT-202602-000015,20/02/2026 16:38,PR-01145,LOC-013,Smartcard,N,0,4
EVT-202602-000016,10/02/2026 07:37,PR-02111,LOC-029,Biometric,N,0,8
EVT-202602-000017,24/02/2026 16:00,PR-00729,LOC-012,ANPR,N,0,6
EVT-202602-000018,12/02/2026 16:18,PR-00951,LOC-022,CCTV-FR,N,0,5
EVT-202602-000019,06/02/2026 07:02,PR-00145,LOC-007,CCTV-FR,Y,4,156
EVT-202602-000020,28/02/2026 12:03,PR-01625,LOC-029,Biometric,Y,1,6
EVT-202602-000021,12/02/2026 11:22,PR-01325,LOC-023,ANPR,N,0,2
EVT-202602-000022,15/02/2026 21:59,PR-02884,LOC-030,Biometric,N,0,2
EVT-202602-000023,13/02/2026 13:08,PR-01233,LOC-006,Smartcard,N,0,7
EVT-202602-000024,25/02/2026 22:00,PR-02026,LOC-016,CCTV-FR,N,0,179
EVT-202602-000025,01/02/2026 16:02,PR-00368,LOC-003,CCTV-FR,N,0,46
EVT-202602-000026,13/02/2026 08:39,PR-02639,LOC-028,ANPR,N,0,6
EVT-202602-000027,16/02/2026 08:54,PR-02689,LOC-019,Geolocation,N,0,104
EVT-202602-000028,12/02/2026 04:31,PR-01090,LOC-005,Biometric,N,0,2
EVT-202602-000029,25/02/2026 18:59,PR-01816,LOC-016,CCTV-FR,Y,3,114
EVT-202602-000030,14/02/2026 11:24,PR-00717,LOC-012,ANPR,N,0,8
EVT-202602-000031,07/02/2026 09:34,PR-00811,LOC-009,ANPR,N,0,1
EVT-202602-000032,27/02/2026 00:59,PR-00104,LOC-025,CCTV-FR,Y,1,19
EVT-202602-000033,01/02/2026 12:25,PR-01129,LOC-026,Smartcard,Y,2,6
EVT-202602-000034,04/02/2026 03:08,PR-00884,LOC-010,Biometric,N,0,5
EVT-202602-000035,16/02/2026 23:11,PR-00716,LOC-003,CCTV-FR,N,0,162
EVT-202602-000036,09/02/2026 01:42,PR-02145,LOC-020,Utilities,N,0,8
EVT-202602-000037,19/02/2026 21:05,PR-02282,LOC-024,ANPR,N,0,2
EVT-202602-000038,21/02/2026 13:33,PR-01789,LOC-003,CCTV-FR,N,0,172
EVT-202602-000039,19/02/2026 19:41,PR-02064,LOC-029,Biometric,N,0,7
EVT-202602-000040,17/02/2026 22:51,PR-00965,LOC-023,ANPR,N,0,5
EVT-202602-000041,12/02/2026 20:58,PR-00355,LOC-010,Biometric,N,0,8
EVT-202602-000042,25/02/2026 06:12,PR-00980,LOC-028,ANPR,Y,4,8
EVT-202602-000043,28/02/2026 16:10,PR-00191,LOC-008,ANPR,N,0,3
EVT-202602-000044,12/02/2026 23:09,PR-02427,LOC-018,Geolocation,N,0,158
EVT-202602-000045,22/02/2026 07:17,PR-01827,LOC-021,CCTV-FR,N,0,100
EVT-202602-000046,22/02/2026 09:24,PR-00859,LOC-026,Smartcard,N,0,7
EVT-202602-000047,04/02/2026 07:06,PR-01386,LOC-019,Geolocation,Y,4,96
EVT-202602-000048,06/02/2026 23:04,PR-00521,LOC-027,Biometric,N,0,2
EVT-202602-000049,25/02/2026 18:22,PR-01439,LOC-029,Biometric,N,0,3
EVT-202602-000050,18/02/2026 16:26,PR-02945,LOC-024,ANPR,Y,2,3
EVT-202602-000051,08/02/2026 11:06,PR-00952,LOC-005,Biometric,N,0,6
EVT-202602-000052,06/02/2026 10:46,PR-02910,LOC-006,Smartcard,N,0,5
EVT-202602-000053,16/02/2026 12:34,PR-00623,LOC-003,CCTV-FR,Y,3,23
EVT-202602-000054,27/02/2026 05:17,PR-02678,LOC-007,CCTV-FR,Y,2,15
EVT-202602-000055,10/02/2026 02:17,PR-02094,LOC-004,Biometric,N,0,8
EVT-202602-000056,11/02/2026 21:17,PR-00831,LOC-023,ANPR,N,0,2
EVT-202602-000057,08/02/2026 20:12,PR-01809,LOC-025,CCTV-FR,N,0,87
EVT-202602-000058,27/02/2026 16:29,PR-02859,LOC-009,ANPR,N,0,2
EVT-202602-000059,19/02/2026 02:26,PR-01522,LOC-024,ANPR,N,0,6
EVT-202602-000060,22/02/2026 02:50,PR-01376,LOC-021,CCTV-FR,N,0,143
EVT-202602-000061,05/02/2026 02:49,PR-01585,LOC-009,ANPR,N,0,2
EVT-202602-000062,03/02/2026 09:30,PR-01967,LOC-028,ANPR,N,0,3
EVT-202602-000063,20/02/2026 22:51,PR-02766,LOC-005,Biometric,N,0,2
EVT-202602-000064,03/02/2026 12:18,PR-02428,LOC-011,Smartcard,N,0,2
EVT-202602-000065,01/02/2026 10:17,PR-02242,LOC-022,CCTV-FR,Y,2,58
EVT-202602-000066,26/02/2026 00:42,PR-02121,LOC-024,ANPR,N,0,3
EVT-202602-000067,15/02/2026 19:25,PR-00078,LOC-029,Biometric,Y,2,1
EVT-202602-000068,15/02/2026 18:34,PR-02579,LOC-020,Utilities,N,0,6
EVT-202602-000069,03/02/2026 07:06,PR-02360,LOC-023,ANPR,N,0,8
EVT-202602-000070,22/02/2026 16:29,PR-00091,LOC-028,ANPR,N,0,6
EVT-202602-000071,09/02/2026 22:37,PR-01834,LOC-030,Biometric,N,0,7
EVT-202602-000072,14/02/2026 10:27,PR-01991,LOC-003,CCTV-FR,Y,2,111
EVT-202602-000073,26/02/2026 17:34,PR-01763,LOC-016,CCTV-FR,Y,2,46
EVT-202602-000074,18/02/2026 11:09,PR-00095,LOC-007,CCTV-FR,N,0,120
EVT-202602-000075,28/02/2026 10:58,PR-00176,LOC-003,CCTV-FR,N,0,22
EVT-202602-000076,01/02/2026 12:32,PR-02730,LOC-012,ANPR,N,0,6
EVT-202602-000077,18/02/2026 17:41,PR-00367,LOC-004,Biometric,N,0,8
EVT-202602-000078,07/02/2026 08:32,PR-02192,LOC-016,CCTV-FR,N,0,83
EVT-202602-000079,09/02/2026 19:57,PR-00479,LOC-023,ANPR,N,0,8
EVT-202602-000080,22/02/2026 03:44,PR-01534,LOC-015,CCTV-FR,N,0,75
EVT-202602-000081,07/02/2026 23:18,PR-00267,LOC-026,Smartcard,N,0,4
EVT-202602-000082,25/02/2026 21:24,PR-02511,LOC-021,CCTV-FR,N,0,119
EVT-202602-000083,27/02/2026 20:40,PR-00390,LOC-008,ANPR,N,0,8
EVT-202602-000084,04/02/2026 13:35,PR-00090,LOC-002,ANPR,N,0,3
EVT-202602-000085,09/02/2026 20:03,PR-00690,LOC-024,ANPR,N,0,8
EVT-202602-000086,22/02/2026 06:02,PR-02196,LOC-020,Utilities,N,0,5
EVT-202602-000087,13/02/2026 01:17,PR-02993,LOC-015,CCTV-FR,N,0,179
EVT-202602-000088,14/02/2026 04:57,PR-00754,LOC-024,ANPR,N,0,3
EVT-202602-000089,19/02/2026 22:22,PR-01432,LOC-025,CCTV-FR,N,0,44
EVT-202602-000090,19/02/2026 17:54,PR-00487,LOC-024,ANPR,N,0,8
EVT-202602-000091,26/02/2026 04:51,PR-00531,LOC-015,CCTV-FR,N,0,119
EVT-202602-000092,19/02/2026 20:00,PR-01510,LOC-009,ANPR,N,0,8
EVT-202602-000093,08/02/2026 14:20,PR-00877,LOC-001,ANPR,N,0,5
EVT-202602-000094,27/02/2026 22:57,PR-01534,LOC-026,Smartcard,N,0,4
EVT-202602-000095,13/02/2026 17:52,PR-00017,LOC-023,ANPR,N,0,2
EVT-202602-000096,02/02/2026 08:37,PR-01811,LOC-030,Biometric,N,0,3
EVT-202602-000097,05/02/2026 14:46,PR-02392,LOC-010,Biometric,N,0,2
EVT-202602-000098,28/02/2026 06:28,PR-01758,LOC-030,Biometric,N,0,1
EVT-202602-000099,25/02/2026 14:09,PR-00147,LOC-009,ANPR,Y,3,3
EVT-202602-000100,15/02/2026 18:58,PR-00875,LOC-019,Geolocation,N,0,1
EVT-202602-000101,15/02/2026 15:02,PR-02300,LOC-029,Biometric,Y,2,5
EVT-202602-000102,09/02/2026 09:15,PR-02811,LOC-006,Smartcard,Y,4,4
EVT-202602-000103,01/02/2026 06:25,PR-00585,LOC-004,Biometric,N,0,5
EVT-202602-000104,19/02/2026 05:46,PR-00145,LOC-002,ANPR,N,0,5
EVT-202602-000105,01/02/2026 18:32,PR-00603,LOC-016,CCTV-FR,Y,3,32
EVT-202602-000106,07/02/2026 00:58,PR-02341,LOC-009,ANPR,Y,3,4
EVT-202602-000107,10/02/2026 11:01,PR-00172,LOC-024,ANPR,N,0,3
EVT-202602-000108,12/02/2026 21:56,PR-02024,LOC-021,CCTV-FR,N,0,102
EVT-202602-000109,20/02/2026 15:17,PR-01677,LOC-004,Biometric,N,0,5
EVT-202602-000110,15/02/2026 08:34,PR-01706,LOC-021,CCTV-FR,Y,1,138
EVT-202602-000111,06/02/2026 10:00,PR-01633,LOC-009,ANPR,N,0,8
EVT-202602-000112,23/02/2026 23:44,PR-00384,LOC-030,Biometric,N,0,3
EVT-202602-000113,27/02/2026 17:34,PR-01585,LOC-012,ANPR,N,0,1
EVT-202602-000114,05/02/2026 08:22,PR-00245,LOC-030,Biometric,Y,2,1
EVT-202602-000115,23/02/2026 03:53,PR-01931,LOC-009,ANPR,Y,2,1
EVT-202602-000116,06/02/2026 23:06,PR-01870,LOC-013,Smartcard,N,0,7
EVT-202602-000117,24/02/2026 05:26,PR-02501,LOC-021,CCTV-FR,N,0,97
EVT-202602-000118,16/02/2026 05:46,PR-02298,LOC-009,ANPR,Y,1,2
EVT-202602-000119,26/02/2026 01:58,PR-01278,LOC-003,CCTV-FR,Y,1,47
EVT-202602-000120,01/02/2026 21:22,PR-02725,LOC-010,Biometric,N,0,7
EVT-202602-000121,19/02/2026 12:47,PR-01169,LOC-005,Biometric,N,0,8
EVT-202602-000122,09/02/2026 14:58,PR-00709,LOC-025,CCTV-FR,Y,2,54
EVT-202602-000123,16/02/2026 01:27,PR-01680,LOC-019,Geolocation,Y,1,37
EVT-202602-000124,15/02/2026 09:59,PR-00071,LOC-007,CCTV-FR,N,0,122
EVT-202602-000125,20/02/2026 02:42,PR-00301,LOC-019,Geolocation,N,0,52
EVT-202602-000126,05/02/2026 20:04,PR-01154,LOC-023,ANPR,N,0,2
EVT-202602-000127,01/02/2026 14:41,PR-00407,LOC-009,ANPR,N,0,4
EVT-202602-000128,13/02/2026 09:38,PR-01789,LOC-022,CCTV-FR,N,0,3
EVT-202602-000129,07/02/2026 16:51,PR-02026,LOC-002,ANPR,N,0,5
EVT-202602-000130,04/02/2026 23:14,PR-00709,LOC-015,CCTV-FR,N,0,77
EVT-202602-000131,14/02/2026 21:57,PR-02005,LOC-002,ANPR,N,0,3
EVT-202602-000132,23/02/2026 14:51,PR-00526,LOC-011,Smartcard,N,0,7
