event_id,timestamp,citizen_id,location_id,event_type,flagged,severity,duration_seconds
EVT-202605-000001,01/05/2026 01:13,PR-00409,LOC-016,CCTV-FR,Y,2,77
EVT-202605-000002,03/05/2026 11:40,PR-00042,LOC-009,ANPR,N,0,2
EVT-202605-000003,04/05/2026 02:25,PR-00750,LOC-011,Smartcard,Y,4,7
EVT-202605-000004,22/05/2026 18:13,PR-00499,LOC-017,CCTV-FR,N,0,147
EVT-202605-000005,03/05/2026 17:18,PR-02258,LOC-026,Smartcard,N,0,3
EVT-202605-000006,24/05/2026 22:44,PR-01012,LOC-013,Smartcard,N,0,6
EVT-202605-000007,13/05/2026 03:04,PR-01989,LOC-008,ANPR,N,0,2
EVT-202605-000008,04/05/2026 00:19,PR-02320,LOC-023,ANPR,N,0,7
EVT-202605-000009,22/05/2026 11:33,PR-02562,LOC-008,ANPR,N,0,7
EVT-202605-000010,17/05/2026 23:29,PR-00335,LOC-030,Biometric,N,0,6
EVT-202605-000011,09/05/2026 12:31,PR-00549,LOC-024,ANPR,N,0,7
EVT-202605-000012,09/05/2026 20:02,PR-01990,LOC-022,CCTV-FR,N,0,80
EVT-202605-000013,11/05/2026 20:32,PR-02554,LOC-013,Smartcard,N,0,8
EVT-202605-000014,26/05/2026 00:02,PR-01353,LOC-017,CCTV-FR,N,0,98
EVT-202605-000015,20/05/2026 22:27,PR-02715,LOC-030,Biometric,N,0,1
EVT-202605-000016,02/05/2026 20:58,PR-00346,LOC-002,ANPR,N,0,3
EVT-202605-000017,21/05/2026 16:23,PR-02654,LOC-008,ANPR,Y,1,6
EVT-202605-000018,23/05/2026 02:36,PR-00553,LOC-013,Smartcard,N,0,1
EVT-202605-000019,14/05/2026 21:25,PR-02614,LOC-011,Smartcard,Y,1,1
EVT-202605-000020,04/05/2026 11:18,PR-02146,LOC-003,CCTV-FR,Y,1,153
EVT-202605-000021,21/05/2026 12:20,PR-02907,LOC-001,ANPR,N,0,7
